Price,Close,High,Low,Open,Volume
Ticker,ASHOKLEY.NS,ASHOKLEY.NS,ASHOKLEY.NS,ASHOKLEY.NS,ASHOKLEY.NS
Date,,,,,
2025-12-08,159.27999877929688,162.92999267578125,157.89999389648438,160.89999389648438,11422591
2025-12-09,159.5800018310547,160.2899932861328,155.5500030517578,159.1699981689453,13146291
2025-12-10,158.00999450683594,160.32000732421875,157.75999450683594,160.0,10266182
2025-12-11,160.3300018310547,161.19000244140625,157.10000610351562,158.5,11571887
2025-12-12,163.86000061035156,164.86000061035156,160.35000610351562,160.75,13731776
2025-12-15,166.82000732421875,167.13999938964844,162.50999450683594,163.8000030517578,16406561
2025-12-16,167.75,168.74000549316406,166.02999877929688,166.5,17495643
2025-12-17,166.13999938964844,167.5,165.07000732421875,167.5,7630563
2025-12-18,171.57000732421875,172.0500030517578,165.6300048828125,166.13999938964844,21614399
2025-12-19,173.55999755859375,174.5800018310547,170.6999969482422,172.0800018310547,16822313
2025-12-22,177.0500030517578,178.0,174.61000061035156,174.61000061035156,17655028
2025-12-23,177.9600067138672,178.1999969482422,175.5800018310547,177.0800018310547,8542554
2025-12-24,175.30999755859375,178.3000030517578,174.75999450683594,178.10000610351562,8846615
2025-12-25,175.30999755859375,175.30999755859375,175.30999755859375,175.30999755859375,0
2025-12-26,174.67999267578125,175.99000549316406,173.27000427246094,175.2100067138672,5686108
2025-12-29,174.9199981689453,176.0500030517578,173.3800048828125,174.67999267578125,9026929
2025-12-30,178.6300048828125,179.97000122070312,174.00999450683594,175.5,58790880
2025-12-31,179.19000244140625,180.33999633789062,176.6999969482422,178.47999572753906,12570359
2026-01-01,184.8800048828125,185.55999755859375,178.80999755859375,179.19000244140625,26287021
2026-01-02,188.77999877929688,190.0,183.77000427246094,185.0,25388934
2026-01-05,187.75999450683594,191.8000030517578,186.0500030517578,189.0,17083159
2026-01-06,186.14999389648438,189.1699981689453,184.9199981689453,187.85000610351562,9072320
2026-01-07,186.1199951171875,186.8300018310547,184.55999755859375,186.1999969482422,9482575
2026-01-08,184.52000427246094,186.3000030517578,184.00999450683594,186.0,9093468
